name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,latitude,longitude
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,Government,32,32,0,1.3240827139625,103.814182099841
Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,Government,135,134,1,1.2793398636571,103.846652482254
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,Government,32,32,0,1.32034716834128,103.955480570427
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,Government,94,32,62,1.28883089150258,103.827353892228
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,Government,66,66,0,1.30734410946371,103.856888783769
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,Government,179,84,95,1.33945242854685,103.776007306701
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,Government,36,36,0,1.36423252476886,103.86652701738
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,Government,102,39,63,1.30690013206335,103.800367271218
Dunman Food Centre,"271, Onan Road, S(424768)",HC,Government,30,30,0,1.30941788760759,103.901825408227
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,Government,63,63,0,1.30690573552745,103.935137935777
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,Government,365,63,302,1.31667885583161,103.898102655979
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,Government,223,112,111,1.30314175320333,103.863877615334
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,Government,69,21,48,1.31107297402127,103.794876419662
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,Government,94,16,78,1.30734398370473,103.884017699319
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,Government,76,76,0,1.30100149635856,103.854211650138
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,Government,103,103,0,1.28033142727315,103.844747227479
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,Government,83,83,0,1.31189240495009,103.839562766706
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,Government,119,37,82,1.30563433652207,103.863909336656
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,Government,45,45,0,1.27591797439292,103.791410908656
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,Government,82,46,36,1.36308501111104,103.866724949118
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,Government,36,36,0,1.37231949296183,103.829018145089
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,Government,180,123,57,1.33468266452814,103.721619258973
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,Government,117,28,89,1.30054407507427,103.797737980247
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,Government,342,83,259,1.28468599168094,103.832421566287
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,Government,32,32,0,1.2923422114207,103.831189023623
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,96,48,1.28688297261475,103.808131274161
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,86,148,1.30100149635856,103.854211650138
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,88,0,1.28630594274136,103.804492637648
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,HDB,21,21,0,1.2882310152805,103.839934168065
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,HDB,171,51,120,1.35408273910145,103.890130407955
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,56,77,1.27736813225761,103.818651524334
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,80,22,58,1.28000480135122,103.82601329621
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,HDB,182,84,98,1.28550445567433,103.821823256087
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,79,82,1.32064636781982,103.88702414
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,40,108,1.3322421486487,103.845643059432
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,45,99,1.34615467582904,103.944509800507
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,47,66,1.29323624443735,103.802903871889
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,194,64,130,1.32055221938711,103.935539171613
Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,HDB,57,57,0,1.28388120820457,103.816939544137
Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,HDB,144,84,60,1.31526353935876,103.870688914288
Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,HDB,230,72,158,1.31099663218896,103.78823030662
Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,HDB,70,70,0,1.32478236985627,103.930570304559
