station_code,latitude,longitude,station_name
NS1,1.33315281585758,103.742286332403,JURONG EAST MRT STATION (EW24 / NS1)
NS2,1.34903331201636,103.749566478309,BUKIT BATOK MRT STATION (NS2)
NS3,1.35861159094192,103.751790910733,BUKIT GOMBAK MRT STATION (NS3)
NS4,1.38536316540225,103.744370779756,CHOA CHU KANG MRT STATION (NS4)
NS5,1.39753506936297,103.747405150236,YEW TEE MRT STATION (NS5)
NS7,1.42508698073648,103.762137459497,KRANJI MRT STATION (NS7)
NS8,1.43252114855026,103.774074641403,MARSILING MRT STATION (NS8)
NS9,1.43681962961519,103.786066799253,WOODLANDS MRT STATION (NS9)
NS10,1.44058856161847,103.800990519771,ADMIRALTY MRT STATION (NS10)
NS11,1.44905082158502,103.820046140211,SEMBAWANG MRT STATION (NS11)
NS12,1.44307664075699,103.829702590959,CANBERRA MRT STATION (NS12)
NS13,1.42944308477331,103.835005047246,YISHUN MRT STATION (NS13)
NS14,1.41738337009565,103.832979908243,KHATIB MRT STATION (NS14)
NS15,1.38175587099132,103.84494727118,YIO CHU KANG MRT STATION (NS15)
NS16,1.36993284962262,103.84955809232,ANG MO KIO MRT STATION (NS16)
NS17,1.35083898784737,103.848143964542,BISHAN MRT STATION (NS17)
NS18,1.3404690010277,103.846799083148,BRADDELL MRT STATION (NS18)
NS19,1.33262928096888,103.847502198048,TOA PAYOH MRT STATION (NS19)
NS20,1.32044079120154,103.843825618748,NOVENA MRT STATION (NS20)
NS21,1.3123189224097,103.837984594021,NEWTON MRT STATION (NS21)
NS22,1.30398013681715,103.832245244375,ORCHARD MRT STATION (NS22)
NS23,1.30026416739006,103.839085753124,SOMERSET MRT STATION (NS23)
NS24,1.29870132536119,103.846113677951,DHOBY GHAUT MRT STATION (NS24)
NS25,1.29293672227779,103.852585580366,CITY HALL MRT STATION (EW13 / NS25)
NS26,1.28412561043658,103.851461712342,RAFFLES PLACE MRT STATION (EW14 / NS26)
NS27,1.276410298755,103.854595522263,MARINA BAY MRT STATION (NS27)
NS28,1.27102703612006,103.862447515736,MARINA SOUTH PIER MRT STATION (NS28)
EW1,1.37304331635804,103.949284527763,PASIR RIS MRT STATION (EW1)
EW2,1.35330167637376,103.945144586749,TAMPINES MRT STATION (EW2)
EW3,1.34319707851829,103.953377214378,SIMEI MRT STATION (EW3)
EW4,1.32718729074675,103.946348600798,TANAH MERAH MRT STATION (EW4)
EW5,1.32397996868158,103.929984495066,BEDOK MRT STATION (EW5)
EW6,1.3210381335934,103.912947930851,KEMBANGAN MRT STATION (EW6)
EW7,1.31978354916088,103.903225807255,EUNOS MRT STATION (EW7)
EW8,1.31811149224527,103.893060771576,PAYA LEBAR MRT STATION (EW8)
EW9,1.3164326118157,103.882906044385,ALJUNIED MRT STATION (EW9)
EW10,1.31148890998818,103.871386541754,KALLANG MRT STATION (EW10)
EW11,1.30737781747063,103.862767633888,LAVENDER MRT STATION (EW11)
EW12,1.30046508509717,103.855706730933,BUGIS MRT STATION (EW12)
EW13,1.29293672227779,103.852585580366,CITY HALL MRT STATION (EW13 / NS25)
EW14,1.28412561043658,103.851461712342,RAFFLES PLACE MRT STATION (EW14 / NS26)
EW15,1.27656131737246,103.845725186759,TANJONG PAGAR MRT STATION (EW15)
EW16,1.28140504772213,103.839130979249,OUTRAM PARK MRT STATION (EW16)
EW17,1.28610253615775,103.827445112419,TIONG BAHRU MRT STATION (EW17)
EW18,1.28963453412887,103.81674097205,REDHILL MRT STATION (EW18)
EW19,1.29455085184931,103.806077155982,QUEENSTOWN MRT STATION (EW19)
EW20,1.30250199924325,103.798228523336,COMMONWEALTH MRT STATION (EW20)
EW21,1.3072237082044,103.790253514502,BUONA VISTA MRT STATION (EW21)
EW22,1.31140529320963,103.778637841909,DOVER MRT STATION (EW22)
EW23,1.31511625277378,103.765191452888,CLEMENTI MRT STATION (EW23)
EW24,1.33315281585758,103.742286332403,JURONG EAST MRT STATION (EW24 / NS1)
EW25,1.34235282081401,103.732596738363,CHINESE GARDEN MRT STATION (EW25)
EW26,1.34425911493819,103.720949087456,LAKESIDE MRT STATION (EW26)
EW27,1.33860405469845,103.706064622772,BOON LAY MRT STATION (EW27)
EW28,1.33758701106708,103.697321608474,PIONEER MRT STATION (EW28)
EW29,1.3277170408447,103.678374996165,JOO KOON MRT STATION (EW29)
EW30,1.31947090075208,103.660530461345,GUL CIRCLE MRT STATION (EW30)
EW31,1.32102695598684,103.649078235627,TUAS CRESCENT MRT STATION (EW31)
EW32,1.32998504653102,103.639616648771,TUAS WEST ROAD MRT STATION (EW32)
NE1,1.26538938374901,103.821530157095,HARBOURFRONT MRT STATION (NE1 / CC29)
NE3,1.27972059383553,103.839439862425,OUTRAM PARK MRT STATION (NE3)
NE4,1.28435959278583,103.843426681863,CHINATOWN MRT STATION (NE4)
NE5,1.28838602407588,103.846555209694,CLARKE QUAY MRT STATION (NE5)
NE6,1.29970458121203,103.845488542541,DHOBY GHAUT MRT STATION (NE6)
NE7,1.30680019696174,103.849647059738,LITTLE INDIA MRT STATION (NE7)
NE8,1.31190557325774,103.853477716509,FARRER PARK MRT STATION (NE8)
NE9,1.31933570922514,103.861569454156,BOON KENG MRT STATION (NE9)
NE10,1.33137949021368,103.869055656782,POTONG PASIR MRT STATION (NE10)
NE11,1.33919004519388,103.87081830915,WOODLEIGH MRT STATION (NE11)
NE12,1.34970788089564,103.873574849884,SERANGOON MRT STATION (NE12)
NE13,1.36017917065237,103.885064856353,KOVAN MRT STATION (NE13)
NE14,1.37129226620797,103.892380513029,HOUGANG MRT STATION (NE14)
NE15,1.38287001971672,103.893122569706,BUANGKOK MRT STATION (NE15)
NE16,1.39169462601522,103.895484694279,SENGKANG MRT STATION (NE16)
NE17,1.40454653668991,103.902072622229,PUNGGOL MRT STATION (NE17)
NE18,1.41492733388605,103.910166388177,PUNGGOL COAST MRT STATION (NE18)
CC1,1.29891164362677,103.84629250696,DHOBY GHAUT MRT STATION (CC1)
CC2,1.29686168649656,103.850667371637,BRAS BASAH MRT STATION (CC2)
CC3,1.2936577245386,103.855081226245,ESPLANADE MRT STATION (CC3)
CC4,1.29399798636232,103.860350000188,PROMENADE MRT STATION (CC4)
CC5,1.29976684675139,103.86363696572,NICOLL HIGHWAY MRT STATION (CC5)
CC6,1.3028124684707,103.875337711089,STADIUM MRT STATION (CC6)
CC7,1.30620190525331,103.882528081052,MOUNTBATTEN MRT STATION (CC7)
CC8,1.30854798388121,103.889064718377,DAKOTA MRT STATION (CC8)
CC9,1.3172473854035,103.892260753884,PAYA LEBAR MRT STATION (CC9)
CC10,1.32607760171665,103.890391305725,MACPHERSON MRT STATION (CC10)
CC11,1.33514150139202,103.888389300191,TAI SENG MRT STATION (CC11)
CC12,1.34250117805245,103.880177899184,BARTLEY MRT STATION (CC12)
CC13,1.35063361526525,103.872771660431,SERANGOON MRT STATION (CC13)
CC14,1.35161217074555,103.864151938651,LORONG CHUAN MRT STATION (CC14)
CC15,1.35131580146658,103.84914026532,BISHAN MRT STATION (CC15)
CC16,1.348707263451,103.839423132332,MARYMOUNT MRT STATION (CC16)
CC17,1.33767450815619,103.839529820338,CALDECOTT MRT STATION (CC17)
CC18,1.33372888295973,103.830689549849,BUKIT BROWN MRT STATION (CC18)
CC19,1.32211373558877,103.814984510627,BOTANIC GARDENS MRT STATION (CC19)
CC20,1.31743915158967,103.807379214161,FARRER ROAD MRT STATION (CC20)
CC21,1.31224029631595,103.796399122407,HOLLAND VILLAGE MRT STATION (CC21)
CC22,1.30663450405,103.790709404436,BUONA VISTA MRT STATION (CC22)
CC23,1.29975987493555,103.78745750525,ONE-NORTH MRT STATION (CC23)
CC24,1.29353349887123,103.784572738173,KENT RIDGE MRT STATION (CC24)
CC25,1.28257135772488,103.781752725064,HAW PAR VILLA MRT STATION (CC25)
CC26,1.27621352233766,103.791350313288,PASIR PANJANG MRT STATION (CC26)
CC27,1.27225417749656,103.802631578766,LABRADOR PARK MRT STATION (CC27)
CC28,1.27070647717762,103.809761611219,TELOK BLANGAH MRT STATION (CC28)
CC29,1.26538938374901,103.821530157095,HARBOURFRONT MRT STATION (NE1 / CC29)
CC30,1.26977220124441,103.830031459524,KEPPEL MRT STATION (CC30)
CC31,1.27287214563203,103.837062313764,CANTONMENT MRT STATION (CC31)
DT1,1.37900211641036,103.761535114929,BUKIT PANJANG MRT STATION (DT1)
DT2,1.36981544925552,103.76443921414,CASHEW MRT STATION (DT2)
DT3,1.36234486803558,103.767418254007,HILLVIEW MRT STATION (DT3)
DT5,1.34122317558549,103.775794285083,BEAUTY WORLD MRT STATION (DT5)
DT6,1.33566161262214,103.783399113441,KING ALBERT PARK MRT STATION (DT6)
DT7,1.33085764536226,103.796906838288,SIXTH AVENUE MRT STATION (DT7)
DT8,1.32555623519898,103.807760304729,TAN KAH KEE MRT STATION (DT8)
DT9,1.32248807089544,103.816013994259,BOTANIC GARDENS MRT STATION (DT9)
DT10,1.32006555750626,103.826024401924,STEVENS MRT STATION (DT10)
DT11,1.31399286264569,103.837714613091,NEWTON MRT STATION (DT11)
DT12,1.30701826765224,103.848660935092,LITTLE INDIA MRT STATION (DT12)
DT13,1.30385218527656,103.852769428884,ROCHOR MRT STATION (DT13)
DT14,1.29931350344582,103.857125959023,BUGIS MRT STATION (DT14)
DT15,1.29289175383295,103.860891800025,PROMENADE MRT STATION (DT15)
DT16,1.28187378879209,103.859079764874,BAYFRONT MRT STATION (DT16 / CE1)
DT17,1.27944638178916,103.852840829581,DOWNTOWN MRT STATION (DT17)
DT18,1.28206894769394,103.848648781083,TELOK AYER MRT STATION (DT18)
TE1,1.44829245259621,103.785692682441,WOODLANDS NORTH MRT STATION (TE1)
TE2,1.43605761708128,103.787938777173,WOODLANDS MRT STATION (TE2)
TE3,1.42739605281442,103.79326432221,WOODLANDS SOUTH MRT STATION (TE3)
TE4,1.39758106126824,103.817856949947,SPRINGLEAF MRT STATION (TE4)
TE5,1.38550657972169,103.835743809669,LENTOR MRT STATION (TE5)
TE6,1.37146318831015,103.836567766945,MAYFLOWER MRT STATION (TE6)
TE7,1.36328318545185,103.832893619992,BRIGHT HILL MRT STATION (TE7)
TE8,1.35441643365401,103.832898468504,UPPER THOMSON MRT STATION (TE8)
TE9,1.33724561271722,103.840161782075,CALDECOTT MRT STATION (TE9)
TE10,1.32856455460666,103.83518858199,MOUNT PLEASANT MRT STATION (TE10)
TE11,1.31933437435349,103.825566965234,STEVENS MRT STATION (TE11)
TE12,1.30678223364785,103.818956796815,NAPIER MRT STATION (TE12)
TE13,1.30242224836722,103.823868523249,ORCHARD BOULEVARD MRT STATION (TE13)
TE14,1.30304426265194,103.831375000068,ORCHARD MRT STATION (TE14)
TE15,1.29394816169384,103.833720837731,GREAT WORLD MRT STATION (TE15)
TE16,1.28850523975311,103.833585838226,HAVELOCK MRT STATION (TE16)
TE17,1.28132964411173,103.839137557749,OUTRAM PARK MRT STATION (TE17)
TE18,1.28053329842878,103.843883670633,MAXWELL MRT STATION (TE18)
TE19,1.2777168283425,103.850367596067,SHENTON WAY MRT STATION (TE19)
TE20,1.27474173226842,103.855309167928,MARINA BAY MRT STATION (TE20)
