licence_numbers,business_name,name_of_license,premise_address,trimmed_address,latitude,longitude
B02008E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"845 YISHUN STREET 81 #01-184, S(760845)",845 YISHUN STREET 81 ,1.416079404249,103.835019190337
B02011P000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"524A JELAPANG ROAD #03-13/18, GREENRIDGE SHOPPING CENTRE S(671524)",524A JELAPANG ROAD ,1.38529556252963,103.766170532051
B02012N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"768 WOODLANDS AVENUE 6 #01-34, WOODLANDS MART S(730768)",768 WOODLANDS AVENUE 6 ,1.44571784134906,103.798166316676
B02015J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"122 ANG MO KIO AVENUE 3 #01-1753,#01-1757,#01-1755, S(560122)",122 ANG MO KIO AVENUE 3 ,1.37018860668947,103.843413231524
B02017C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"301 WOODLANDS STREET 31 #01-217, S(730301)",301 WOODLANDS STREET 31 ,1.4315052703273,103.773515659097
B02020N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JELEBU ROAD #02-20,#01-15, BUKIT PANJANG PLAZA S(677743)",1 JELEBU ROAD ,1.37992045176243,103.764357180314
B02021L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 SEMBAWANG DRIVE #B1-01-03, SUN PLAZA S(757713)",30 SEMBAWANG DRIVE ,1.44820036592783,103.819530140823
B02022K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"71 WOODLANDS AVENUE 3 #01-01, MARSILING MRT STATION S(739044)",71 WOODLANDS AVENUE 3 ,1.43262603485889,103.774051197031
B02024E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"888 WOODLANDS DRIVE 50 #01-757, 888 PLAZA S(730888)",888 WOODLANDS DRIVE 50 ,1.43712301500434,103.795314383823
B02025C000,fairprice,NTUC FAIRPRICE CO-OPERATIVE LTD,"414 YISHUN RING ROAD #01-1853, S(760414)",414 YISHUN RING ROAD ,1.42452849741737,103.846595546746
B02026B000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"445 FAJAR ROAD #01-536, S(670445)",445 FAJAR ROAD ,1.38339951629579,103.771086145173
B02032E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"161 ANG MO KIO AVENUE 4 #01-504, S(560161)",161 ANG MO KIO AVENUE 4 ,1.37416445374568,103.839549130658
B02034B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 WOODLANDS AVENUE 1, WOODGROVE S(739065)","30 WOODLANDS AVENUE 1, WOODGROVE S(739065)",1.42898765704375,103.780916973423
B02035A000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"548 WOODLANDS DRIVE 44 #01-37/38, VISTA POINT S(730548)",548 WOODLANDS DRIVE 44 ,1.43099931590445,103.794101574732
B02037X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"883 WOODLANDS STREET 82 #01-498, WOODLANDS NORTH PLAZA S(730883)",883 WOODLANDS STREET 82 ,1.44283592110679,103.790770766025
B02038P000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"925 YISHUN CENTRAL 1 #01-211, S(760925)",925 YISHUN CENTRAL 1 ,1.42750549654333,103.837125284539
B02039N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"293 YISHUN STREET 22 #01-261, S(760293)",293 YISHUN STREET 22 ,1.43611425409216,103.837605235958
B02041C000,hwa soon heng mini supermarket,Tan Kwee Eng,"327 YISHUN RING ROAD #01-1320, S(760327)",327 YISHUN RING ROAD ,1.43007109914643,103.842396446526
B02060V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"256 BANGKIT ROAD #01-69, S(670256)",256 BANGKIT ROAD ,1.37904775889844,103.773004042544
B02093B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"301 YISHUN AVENUE 2 #01-02, YISHUN MRT STATION S(769093)",301 YISHUN AVENUE 2 ,1.42951728655037,103.835058273602
B02099L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"849 YISHUN RING ROAD #01-3703, S(760849)",849 YISHUN RING ROAD ,1.41695924255318,103.83535191292
B03074A000,The butcher,THE BUTCHER (SINGAPORE) PTE. LTD.,"44 JALAN MERAH SAGA #01-50, S(278116)",44 JALAN MERAH SAGA ,1.31192195425084,103.796844037126
B03078N000,Fish market,ROSWELL ENTERPRISE PTE. LTD.,"34 GREENWOOD AVENUE, S(289236)","34 GREENWOOD AVENUE, S(289236)",1.33404340243954,103.805760811059
B03099C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"628 SENJA ROAD #01-01, S(670628)",628 SENJA ROAD ,1.38509602471476,103.760218434373
B85098V000,HAO MART,HAO MART PTE. LTD.,"239 YISHUN RING ROAD #01-1150, S(760239)",239 YISHUN RING ROAD ,1.43359514649201,103.839685373602
B92077A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"418 YISHUN AVENUE 11 #01-433, S(760418)",418 YISHUN AVENUE 11 ,1.4248993192219,103.847249789758
B98014C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"215 ANG MO KIO AVENUE 1 #01-877, S(560215)",215 ANG MO KIO AVENUE 1 ,1.36655830166122,103.841624082978
B99041L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 ORCHID CLUB ROAD #01-34, ORCHID COUNTRY CLUB S(769162)",1 ORCHID CLUB ROAD ,1.41119819060234,103.844438313314
C02024A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 FIFTH AVENUE #01-05, GUTHRIE HOUSE S(268802)",1 FIFTH AVENUE ,1.33077492770988,103.795713392342
C02025V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"293 HOLLAND ROAD, COLD STORAGE JELITA S(278628)","293 HOLLAND ROAD, COLD STORAGE JELITA S(278628)",1.31816756917,103.907040769155
C02026X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 JURONG EAST STREET 21 #01-100, IMM BUILDING S(609601)",2 JURONG EAST STREET 21 ,1.33491758755437,103.746877132868
C02032A000,LOTUS GROCERY,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)","15 ENG KONG TERRACE, ENG KONG PARK S(598987)",1.33638188559532,103.768386558311
C02033V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"154A BUKIT BATOK WEST AVENUE 8 #01-01, S(651154)",154A BUKIT BATOK WEST AVENUE 8 ,1.34737180152613,103.743698106143
C02034X000,fairprice,NTUC FAIRPRICE CO-OPERATIVE LTD,"587 BUKIT TIMAH ROAD, CORONATION PLAZA S(269707)","587 BUKIT TIMAH ROAD, CORONATION PLAZA S(269707)",1.31643963008359,103.835487584433
C02035P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"451 CLEMENTI AVENUE 3 #01-307, S(120451)",451 CLEMENTI AVENUE 3 ,1.31248109025097,103.765476495005
C02036N000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.33875930729064,103.778600077834
C02037L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"135 JURONG EAST STREET 13 #01-337, S(600135)",135 JURONG EAST STREET 13 ,1.33382294191646,103.739755036969
C02038K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JURONG WEST CENTRAL 2 #B1-09, JURONG POINT S(648886)",1 JURONG WEST CENTRAL 2 ,1.33945200436319,103.706685012654
C02040A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"63/66 YUNG KUANG ROAD, #01-119/02-119 S(610063) #01-119/02-119","63/66 YUNG KUANG ROAD, ",1.33072542257431,103.721913762657
C02041V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"399 YUNG SHENG ROAD, #01-43A & 01-35 S(610399) #01-43A & 01-35","399 YUNG SHENG ROAD, ",1.33484487471259,103.720462024278
C02046K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 BUKIT BATOK CENTRAL LINK #B1-01, WEST MALL S(658713)",1 BUKIT BATOK CENTRAL LINK ,1.34992152880216,103.749171990184
C02047J000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"345 CLEMENTI AVENUE 5 #01-78, S(120345)",345 CLEMENTI AVENUE 5 ,1.31770281154049,103.769076731999
C02048E000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34241264188642,103.776539385406
C02050X000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"3 YUAN CHING ROAD #01-, #01-01A/02 S(618642) #01-01A/02",3 YUAN CHING ROAD ,1.32547408835086,103.725247683743
C02052N000,ridgewood gourmet,Yeo Keng Guan,"5 RIDGEWOOD CLOSE, RIDGEWOOD CONDOMINIUM S(276696)","5 RIDGEWOOD CLOSE, RIDGEWOOD CONDOMINIUM S(276696)",1.3166189803866,103.77894725541
C02053L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"166 BUKIT BATOK WEST AVENUE 8, #01-256/258 S(650166) #01-256/258","166 BUKIT BATOK WEST AVENUE 8, ",1.34715255032968,103.742824825591
C02080E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"61 TEBAN GARDENS ROAD #01-21, S(600061)",61 TEBAN GARDENS ROAD ,1.3223749703177,103.738412755847
